PATH,ACTUAL FLOW,Date,Time
Montana,-219,2021-03-20,18:04
Saskatchewan,0,2021-03-20,18:04
TOTAL,-772,2021-03-20,18:04
﻿British Columbia,-531,2021-03-20,18:06
Montana,-211,2021-03-20,18:06
Saskatchewan,0,2021-03-20,18:06
TOTAL,-742,2021-03-20,18:06
﻿British Columbia,-525,2021-03-20,18:08
Montana,-212,2021-03-20,18:08
Saskatchewan,0,2021-03-20,18:08
TOTAL,-737,2021-03-20,18:08
﻿British Columbia,-528,2021-03-20,18:10
Montana,-216,2021-03-20,18:10
Saskatchewan,0,2021-03-20,18:10
TOTAL,-744,2021-03-20,18:10
﻿British Columbia,-544,2021-03-20,18:12
Montana,-224,2021-03-20,18:12
Saskatchewan,0,2021-03-20,18:12
TOTAL,-768,2021-03-20,18:12
﻿British Columbia,-555,2021-03-20,18:14
Montana,-229,2021-03-20,18:14
Saskatchewan,0,2021-03-20,18:14
TOTAL,-784,2021-03-20,18:14
﻿British Columbia,-552,2021-03-20,18:16
Montana,-215,2021-03-20,18:16
Saskatchewan,0,2021-03-20,18:16
TOTAL,-767,2021-03-20,18:16
﻿British Columbia,-550,2021-03-20,18:18
Montana,-223,2021-03-20,18:18
Saskatchewan,0,2021-03-20,18:18
TOTAL,-773,2021-03-20,18:18
﻿British Columbia,-548,2021-03-20,18:20
Montana,-218,2021-03-20,18:20
Saskatchewan,0,2021-03-20,18:20
TOTAL,-766,2021-03-20,18:20
